[FileName]-[Scan]	Xs	Vs
RH_Heart_TMTHF_FR1WO_duplicate.txt-102800	0.201211668	26812.5651
RH_Heart_TMTHF_FR1WO_duplicate.txt-102884	-0.112038358	72823.47656
RH_Heart_TMTHF_FR1WO_duplicate.txt-102930	0.38324382	11807.01042
RH_Heart_TMTHF_FR1WO_duplicate.txt-102971	0.250545958	11080.18652
RH_Heart_TMTHF_FR1WO_duplicate.txt-103010	0.201024121	43859.46354
RH_Heart_TMTHF_FR1WO_duplicate.txt-103018	0.025905645	23129.84896
RH_Heart_TMTHF_FR1WO_duplicate.txt-103074	0.007046538	46932.58203
RH_Heart_TMTHF_FR1WO_duplicate.txt-103097	-0.152285417	61755.02214
RH_Heart_TMTHF_FR1WO_duplicate.txt-103192	0.533062247	12101.18555
RH_Heart_TMTHF_FR1WO_duplicate.txt-103227	-0.128247103	14350.25163
RH_Heart_TMTHF_FR1WO_duplicate.txt-103309	-0.088020903	56764.40885
RH_Heart_TMTHF_FR1WO_duplicate.txt-103378	-0.032511819	55829.8112
RH_Heart_TMTHF_FR1WO_duplicate.txt-103446	0.089108141	24383.42643
RH_Heart_TMTHF_FR1WO_duplicate.txt-103528	-0.181435555	62765.47136
RH_Heart_TMTHF_FR1WO_duplicate.txt-103543	-0.093130279	25981.0905
RH_Heart_TMTHF_FR1WO_duplicate.txt-103561	0.111732986	19142.25195
RH_Heart_TMTHF_FR1WO_duplicate.txt-103714	-0.179566111	23860.86523
RH_Heart_TMTHF_FR1WO_duplicate.txt-103727	0.028552873	19372.80208
RH_Heart_TMTHF_FR1WO_duplicate.txt-103740	-0.294789241	59458.61979
RH_Heart_TMTHF_FR1WO_duplicate.txt-103772	-0.296393416	11896.25684
RH_Heart_TMTHF_FR1WO_duplicate.txt-103793	-0.05645803	42570.65885
RH_Heart_TMTHF_FR1WO_duplicate.txt-103800	0.243186166	14240.62728
RH_Heart_TMTHF_FR1WO_duplicate.txt-103823	0.092048975	9357.469402
RH_Heart_TMTHF_FR1WO_duplicate.txt-103852	-0.159001725	7176.255534
RH_Heart_TMTHF_FR1WO_duplicate.txt-103958	-0.146446106	55752.8789
RH_Heart_TMTHF_FR1WO_duplicate.txt-103973	-0.145707619	20940.88607
RH_Heart_TMTHF_FR1WO_duplicate.txt-103979	-0.140893364	17495.79427
RH_Heart_TMTHF_FR1WO_duplicate.txt-103984	0.270210572	9270.196289
RH_Heart_TMTHF_FR1WO_duplicate.txt-104000	-0.043706215	18583.25326
RH_Heart_TMTHF_FR1WO_duplicate.txt-104004	-0.042328206	32718.67773
RH_Heart_TMTHF_FR1WO_duplicate.txt-104015	0.069377741	12254.48242
RH_Heart_TMTHF_FR1WO_duplicate.txt-104034	0.093492851	26323.33659
RH_Heart_TMTHF_FR1WO_duplicate.txt-104054	-0.141394942	16213.72363
RH_Heart_TMTHF_FR1WO_duplicate.txt-104139	0.039675684	20454.71354
RH_Heart_TMTHF_FR1WO_duplicate.txt-104149	-0.113454049	19834.95248
RH_Heart_TMTHF_FR1WO_duplicate.txt-104152	0.14861322	10968.92936
RH_Heart_TMTHF_FR1WO_duplicate.txt-104153	0.245452593	11191.08463
RH_Heart_TMTHF_FR1WO_duplicate.txt-104167	-0.262953711	40369.47787
RH_Heart_TMTHF_FR1WO_duplicate.txt-10418	-0.017822649	6423.095866
RH_Heart_TMTHF_FR1WO_duplicate.txt-104189	0.147181819	7357.101074
RH_Heart_TMTHF_FR1WO_duplicate.txt-104199	-0.155680874	8095.370443
RH_Heart_TMTHF_FR1WO_duplicate.txt-104212	0.052035469	11436.63639
RH_Heart_TMTHF_FR1WO_duplicate.txt-104218	-0.027202677	19271.54167
RH_Heart_TMTHF_FR1WO_duplicate.txt-104224	0.026297972	16738.68099
